Name,Meaning
Ọmọ́súnmibọ́lá,The child has moved me closer to success/wealth.
Ògúnyọ̀ládé,"Ogun, the god of iron, rejoices in nobility/the crown."
Ọbaolúwamúrewá,God the king has brought goodness.
Ọlámisan,My wealth is preferable.
Olúwajùwọ́nlọ,God is greater than them. 
Ọyásọ̀kò,Ọya threw a stone.
Oròwọlé,The Orò has entered.
Ọláloyè,Nobility is chieftaincy. Wealth is chieftaincy.
Olúdóyìí,"God established this.
The lord/master established this."
Olúwafìfẹ́jìnmí,God has entrusted me with love. 
Ọ̀ṣuntúnmiṣe,Ọ̀ṣun edified me. i.e. Ọ̀ṣun brought me to a state of beauty. Ọ̀ṣun repaired me.
Ọlọ́ta,Owner of bullets.
Ọlárọ̀mọ́lá,Wealth/success is added to wealth/success. e.g. Abundance of wealth.
Olúrọ̀mọ́lá,The prominent one holds onto nobility.
Oyèrọ̀mọ́lá,Honour is tied to wealth/success.
Ọlájímí,Success woke me up.
Owóyínká,I’m surrounded by money.
Olúwasúnmisíwájú,God moved me forward.
Oníyeépọ̀,A child of many mothers.
Ọmọ́kẹ́yẹ,Child brings honour.
Ọbanijésù,Jesus is king.
Oníbìíyọ̀,She/He who gives birth rejoices.
Oníbìídé,She who gives birth has arrived/come.
Ọlọ́runkọ̀yà,God rejected suffering.
Olúwatómiṣọ́,God is enough to watch over me.
Oníléeré,One who has a big compound for children's mirth.
Olúyọ̀ọ́lá,The head of the family rejoices with prosperity.
Ọlátáǹwá,The wealth/success/nobility we are looking for.
Olúwáfìfẹ́jìmmí,God entrusted me with love.
Olúwáfọwọ́tọ́mi,God has touched me.
Ọdẹ́nẹ́yẹ,The hunter has value.
Olúwánímisọ́kàn,God has me in mind. 
Olúwáfìfẹ́kẹ́mi,God beautified me with love.
Olúwafìfẹ́hàn,God showed love.
Olúwafèyíshìkẹ́mi,God used this to care for me.
Olúwarọ́látùnmí,God brought wealth/success to comfort me.
Olúwatúnmishe,God repaired me.
Olúsuyì,"1. God makes a valuable thing
2. God is valuable."
Oyèpéjú,The princely ones are gathered here. The faces of honour are here.
Olúwálànàfúnmi,God paved a way for me.
Oyèbọ́lájí,Honour rises with nobility.
Olúwásanmísire,God has rewarded me with goodness.
Ọyátólú,"1. Ọya is worth prominence.
Ọya is worth being a god."
Olúwabámigbé,God lives with me.
Olúwayọmísọ́lá,The Lord saved me into wealth/success.
Olúwafimídáràọlá,God used me to display His wealth/affluence.
Olúṣẹ̀yẹ,God celebrates (him/her).
Olúwápémilátisìn,The Lord is enough or right for me to worship.
Ọmọ́káyọ̀dé,The child has brought joy in aundance.
Ọ̀rẹ́yẹmí,I deserve friendship.
Olúwatófọláfún,God is worthy of honour.
Olúwarọ́kànmi,God saw my heart.
Oyèdùnmọ́lá,Royalty is sweet with affluence.
Ọmọtóyẹmí,A child befitting of me.
Ọmọ́diméjì,My children have become two.
Ọmọ́fisáyọ̀,A child is added to (my) joy.
Olúyínká,"1. God surrounds me. 
2. Prominence surrounds me."
Olúwátińufẹ́,One loved by God from conception.
Ọlọ́runmọwájú,God knows the future.
Olúwáfisọ́la,God adds to (our) affluence.
Òrìshàgúnà,The Òrìṣà triumphs.
Ọ̀pádọ̀tun,The Ọ̀pá deity has been renewed.
Olówójọlá,"1. The rich person enjoys affluence.
2. The rich person enjoys benefits."
Ọnàyínká,Artistry surrounds me.
Olúwakìńbatì,God never fails.
Ọbaníṣolá,It is the king who revels/basks in pleasure.
Ọ̀nààrà,A miraculous way.
Ọlọ́lápé,The one who has wealth in its completeness.
Omígbèmí,(The deity of) Water supports me.
Òrìshàgúnnà,The Òrìṣà is correct.
Olúwadùnmíní,It pleases God to have me. God is delighted to have me.
Olúwaseúńlá,God does mighty things. 
Oyèṣẹwà,Royalty makes beauty.
Olúwamogbièlé,In God I trust
Òkégbénlé,The god of the hill has lifted me up.
Olúwuyì,"1. Prominence is valuable, admirable.
2. God is valuable, admirable."
Olúwańbọ̀,God is coming.
Olùbùkúnlolúwa,God is a blesser.
Ọmọ́démiládé,The child crowns me.
Ọlọ́mọlà,One with the child survives.
Olúwáfẹ́misáyọ̀,God loves me into joy.
Ọbáníyì,The king is valuable.
Ọlákìísọ̀wọ́n,Affluence is not scarce.
Ọnàbíyì,Artistry birthed this.
Òkétúmbí,The hills gave me a rebirth.
Òkunladé,Crowns are as vast as the sea. 
Ọbágúnwà,The king holds court.
Ọdẹ́jọbí,Hunters jointly birthed this.
Ọmọ́táyọ̀mi,My child equates the joy I have.
Ògúnmúsanmí,Ògún favours me (with this child).
Ọláọ̀ṣun,"The benefit, wealth, of Ọ̀ṣun."
Ọ̀rúnkọ̀yà,Heaven rejects suffering (on our behalf).
Ọbádére,The king comes well.
Ọmọ́tẹ́yẹ,The child is worth celebrating.
Olúḿbẹ,God exists.
Ọdẹ́ṣọlá,The hunter became successful.
Olúwalónìyìn,Praise belongs to God.
Ọmọbìnrinyímiká,I am surrounded by daughters.
Olúwatamíyọ,God singled me out.
Olúwárìnmọ́lá,God walks with success.
Olúwadíyàfúnmi,God repaid my suffering.
Ọmọ́dásọ́lá,The child participates or joins in wealth.
Olúwáṣemípé,God made me complete.
Olúwanííṣọlá,God is who brings wealth/success.
Òkèbùkọ́lá,The hills added to (our) wealth.
Odùgbèsì,The Odù got its response.
Olúwaṣíjúwòmí,God has opened his eyes to me.
Ọmọ́juwàgbé,The child won't let one's legacy go to waste.
Ọmọ́tọ̀míwálé,The child followed me home.
Oyíndùnmọ́lá,Honey is sweet when paired with wealth.
Olúwaniọlámi,God is my wealth.
Ògúnwálé,The god of war has come home.
Ògúnríìíkẹ́,Ògún has found this (one) to cherish/pamper.
Olúwaṣínàayọ̀mi,The Lord open a way if joy for me.
Ògúnyalé,Ògún came back home.
Òkìkíọlákàn,The fame of our nobility/success is widespread.
Ọmọ́kọ́lápọ̀,The child brought success (from two families) together.
Ọlátókun,Wealth as vast as the ocean.
Olútófúnmi,God or Lord is sufficient/enough for me.
Okùrónbí,The deity of enterprise has given birth to a (decent) child.
Okùróunbí,The deity of enterprise has given birth to a (decent) child.
Okùnúgà,The god of enterprise reigns supreme.
Okùbánjọ,I'm at one with the god of enterprise.
Ọmọ́tọ̀míwá,The child came to me.
Olúsúnmibọ́lá,God has moved me closer to success.
Ọbáshọlá,The king makes success.
Olúfọláṣẹwà,God has beautified me with wealth
Ọdẹ́tádé,"1. The hunter is as sufficient/prominent as the crown.
2. Hunting is as prominent as royalty."
Ọpẹ́níyì,Thanksgiving is valuable.
Omídiwúrà,Water becomes gold. Water becomes valuable.
Ọlákọ́lé,Wealth built the home.
Ọlọ́finjánà,The king (Ọlọ́fin) found his way.
Olúwámúmiyọ̀,The lord made me glad.
Omítáíyéṣe,Water has blessed the world.
Ọdẹ́lànà,The hunter made a way.
Olúwatèmilọba,My god is the king.
Olúwanimorí,God is whom I've found.
Ọmọ́múrewá,The child brings goodness.
Ọlọ́rọ̀kù,Wealthy ones remain.
Olúwáfadékànmí,God made it my turn to wear the crown.
Omítáyéṣe,Water blessed the world.
Olúwábùnkúnmi,The lord blessed me.
Ọpọ̀ọlá,Plenty of opulence.
Óràmípadà,He (God) has redeemed me.
Olúwáṣùbòmí,God surrounds me.
Ọmọ́fẹ́mi,The child loves me.
Ògúntúndé,The Òrìṣà Ògún returns.
Olúlódé,The prominent one is here.
Olúwagbọ́lámidé,God has brought my wealth to me.
Ọmọlọ́wọ̀,The child has honour.
Olúwáfiresanmí,The Lord rewarded me with goodness.
Ọmọbaba,"1. Father's child
2. God's son."
Olóríẹgbẹ́,The head of the group.
Ọmọfálà,The child of Ifá prospers.
Ọmọ́sùnládé,The child rests on a crown.
Ọmọ́ṣẹwà,The child embodies beauty.
Ọlámilékansi,"My wealth has increased by one once again.
"
Olúwafayémidábírà,God made wonders with my life.
Ọmọbólúwapé,The child is complete with the lord.
Olúwáfiirefúnmi,God has given me goodness.
Olúwáṣayọ̀mi,God created my joy.
Olúwatówojú,God is enough to look up to.
Ọpẹ́niólúwa,Glory be to God .
Òkìkíjésù,The fame of Jesus.
Omítúnbí,"Water rebirthed me. A água me fez renascer. 
Criança que passou dificuldade para nascer."
Olúwafọláwẹ̀mí,"God bathes me in success, wealth."
Olúwáfìfẹ́máyọ̀,God has added love to (our) joy.
Ọlámijùyín,My success is greater than you(rs).
Olúwáfẹ́misọ́rọ̀,The Lord desires that I prosper.
Orípínre,One's head/destiny shared goodness.
Olúṣemọ́,(One that) God adds to.
Ọbalàgbẹ̀,Farming is king. The farmer is king.
Olúwaníkínyò,God said I should rejoice.
Ọláọ̀pá,The benefit/success of the Ọ̀pá deity.
Olúfọlábòmí,God has covered me with blessings.
Olúwaṣetèmipé,God has perfectly what concerns me.
Olúwáfọláfúnmi,God give me wealth.
Olúwakòṣeuntì,What God cannot do does not exist.
Olúwalólọlá,Wealth/success belongs only to God.
Olúbákindé,Prominence came with bravery.
Ojúmiráyọ̀,My eyes have seen joy.
Ọlámiṣùjọ,"My wealth/success, gathers in one place."
Ọkànmíyọ̀,My heart rejoices.
Olúṣekún,God adds to (us).
Olúwadárafúnmi,God is good for (to) me.
Ọládùgbà,Honour/success is worth receiving.
Ọ̀ṣúnrẹ̀mí,The goddess Ọ̀ṣun consoled me.
Ọ̀shúnrẹ̀mí,See: Ọ̀ṣúnrẹ̀mí
Olúwáforehàn,God showed (me) favour.
Ọmọ́jọláẹbí,The child enjoys the grace/nobility/privilege of the family.
Ọmọluyìọlá,A child gives value or prestige to honor.
Ọ̀ṣúndọjà,The goddess Ọ̀ṣun has become prosperous (like a marketplace).
Oríbámiṣé,My head/destiny did it for me.
Olúwábámiró,God stands with me.
Ọmọ́bọ̀sọ́lá,A child entered into prestige.
Ọmọ́gbọ́ládé,The child brings honour.
Olúwáfàmísókè,God pulls me up.
Òrìsàmúyiwá,Òrìsà has brought this (one).
Olúkẹ́mi,God pampers me. The leader pampers me.
Òkéṣeéyìn,Òkè Ìbàdàn Hill is worthy of worshiping/praising/eulogizing.
Olúwáfiresọ́lámi,God added goodness to my honour.
Ọmọ́pẹ́,The child took a while to arrive.
Olóre,The benefactor.
Oríbámishé,My head helped me resolve this.
Ọbátẹ́níọlámi,The king parades my honour/prestige (for the world to see).
Ọláṣíjibòmí,Prestige/success/honour covers me in its shade.
Olúrọ̀mádé,The leader holds onto royalty.
Ọmọ́sẹfun,"1. The child of the white cloth. 
2. Ọbàtálá gave this child."
Olújẹ́nyọ̀,God lets me rejoice.
Olújẹ́miyọ̀,God makes/lets me rejoice.
Ògúndọjà,"See: Adédọjà, Ọládọjà, Ọ̀ṣúndọjà, etc"
Olúwádámitán,God created me well/completely/fully.
Olúwálóyànmí,God is who chose me.
Ojúadé,The face of royalty.
Ọrẹ̀túyì,The Ọrẹ̀ deity is honourable.
Olúfiyèbí,God birthed with wisdom.
Odùọlá,Prestige in droves.
Olúbíni,"1. The prominent one gave birth to (me).
2. One given birth to by God/the prominent one."
Olúwáṣakin,God exhibited bravery.
Olúbámiró,God stands with me.
Oyèdẹ̀rọ̀,Honour/chieftaincy came with ease.
Ọmọniyiọlá,A child gives value or prestige to honor.
Olúwátẹ́níayọ̀,God spread the mat of joy.
Olúkọ́lájọ,The lord has brought honour together.
Ọmọladéẹni,The child is one's crown.
Ọláolúwaṣíjibòmi,God's favour coveres me.
Ọlọ́runọbáfẹ́mi,"God, who is king, loves me."
Oyínwọnúọlá,Sweetness has entered (our) fortune/honour
Ọmọ́jẹ́nrọ́lá,Chuld brings me success.
Ọládẹ̀hìndé,Honour came by at last.
Olóògùnebi,One with the cure for hunger.
Olúwáfèyírọrùn,God made this easy for me.
Olúwákàmíyẹ,God has counted me worthy.
Ọbatúnwaṣe,Royalty has repaired us.
Olúfẹ́lò,God (or the prominent one) wants to make use of him/her.
Olúwámọ́lámipọ̀si,God has increased my wealth.
Ọlámipéjú,My honour has gathered in one place.
Ọbámúyiwá,The king brought this (to us).
Òbémbé,
Òdúbáyọ̀,The Ifá corpus met joy.
Òdúkòmaiyà,
Òdúmósù,The Odù (Ifá) has brought camwood ointment (for this child): Odùmósùn.
Ọ̀gábí,The master gave birth to.
Ògèdèǹgbé,The nickname of a famous Ìjẹ̀shà warrior.
Ògúnadé,Another way of writing Adéògún: the crown of Ògún.
Ògúnbánjí,Ògún wakes up with me.
Ògúnbánjọ,Ògún is in agreement with me.
Ògúnbánwó,Ògún looks over him for me.
Ògúnbíyí,Ògún birthed this.
Ògúnbọwálé,Ògún returns home.
Ògúndánà,Ògún demarcated the road.
Ògúndé,Ogún walks in.
Ògúndèjì,(The children of) Ògún have doubled.
Ògúndélé,Ògún has arrived home.
Ògúndẹ̀yìn,Ògún has become my destiny.
Ògúndìmú,Ògún holds onto.
Ògúndípẹ̀,Ògún provided supplication.
Ògúndoyin,Ògún has become honey.
Ògúndòyìnbó,Ògún has become the white man.
Ògúndúyìlé,Ògún bestowed honour/prestige on.
Ògúnkólá,Ògún gathered wealth.
Ògúnkọ́ládé,Ògún gathered wealth to bring here.
Ògúnkúnlé,Ògún fills the house.
Ògúnladé,"HOMOGRAPH

1. Ògún is the crown. 2. Ogun is what we have covered our head with.

1. Ògún broke forth to come."
Ògúnlésì,Ògún has a response.
Ògúnlọ́wọ̀,Ògún has respect.
Ògúnmẹ́fun,Ògún takes up a chalk.
Ògúnmẹ́kàn,The god of iron has (picked) an offshoot/offspring.
Ògúnmókùn,"Ògún has picked up a royal bead. [The full name is ""Ògúnmókùnadéró""]"
Òǵunmọlá,Ògún has gained wealth/notability.
Ògúnmúsiré,Ògún takes to play with.
Ògúnnáìkè,Ogún (or its devotees) has prominence.
Ògúnníkẹ,Ògún has adoration.
Ògúnníran,Ògún has pedigree.
Ògúnoyè,Ògún of  honour.
Ògúnrántí,Ògún remembers.
Ògúnrẹ̀mí,Ògún consoles me.
Ògúnrótìmí,Ògún waits with me.
Ògúnṣakin,Ògún makes valor.
Ògúnsanmí,Ògún paid me.
Ògúnsanwó,Ogun pays.
Ògúnsànyà,Ògún has paid for suffering.
Ògúntìmẹ́hìn,"Ògún backed me, supported me."
Ògúntóyè,Ògún is big enough for honour/chieftaincy.
Ògúnwò́,Ògún is looking.
Ògúnwọlé,Ògún enters.
Ògúnwoolu,Ògún has entered the town.
Ògúnwùmí,Ògún attracts me.
Ògúnwùsì,Ogún has grown in reputation/prominence.
Ọ̀jẹ̀bọ̀dé,The masquerade has returned.
Ọ̀jẹ̀labí,We have given birth to a masquerade.
Òjó,A male child who was born with his umbilical cord tied around his neck.
Ọ̀jọmọ,A child greater than others.
Òjótísà,Òjó the teacher.
Òkè,A mountain.
Òkèdìji,The mountains have become a shade.
Òkéṣípẹ̀,The hills paid recompense.
Òkètáòlegùn,A mountain/hill so high that we can't climb it.
Òkúbọtẹ̀,
Ọ̀nàọlápọ̀,The ways of wealth are many.
Ọ̀pádèjì,The ọ̀pá has become two.
Ọ̀pálẹ́yẹ,The ọ̀pá has honour.
Ọ̀rẹ́ṣadé,Friends are equal to the crown. Friendship makes royalty.
Ọ̀rẹ́suyì,
Òsénì,
Ọ̀ṣínbàjò,The king has returned from a journey.
Òsínjolú,
Ọ̀sínlọ́wọ̀,The king has honour.
Ọ̀sínúbi,
Ọ̀ṣọ́fisan,Adornment/Artistry paid with this (child).
Òsoògùn,
Ọ̀sundáre,1. Ọ̀sun is justified.
Ọ̀ṣúnkójọ,Ọ̀sun gathers.
Ọ̀súnnúgà,Ọ̀ṣun has prominence.
Ọ̀suntókun,Ọ̀sun is as big as the ocean.
Ọ̀sunyọmádé,
Ọ̀tẹ̀múyìwá,Opposition has brought this.
Òtítọ́jù,Truth is most paramount.
Òyéwọyin,Honour has entered sweetness.
Òsanyìntọ́lá,Òsanyìn is enough for wealth.
Ọ̀tọkìtí,"1. One who jumps around in an elusive manner.
2. A person fond of somersaulting."
Ògúndiwin,Ògún has become a forest spirit.
Ògúnsowóbọ̀,"Ògún makes money. 

[verification needed]"
Ọ̀jẹ̀túndé,The masquerade has returned.
Ọ̀sunníyì,Ọ̀sun is respectable.
Ọ̀súnjayé,Ọ̀sun enjoys life.
Ọ̀súnjaiyé,Ọ̀sun enjoys life.
Òkìkíìmọ́lẹ̀,The fame of light.
Ògúntìmílẹ́hìn,Ogun supports/backs me.
Ògúntìmílẹ́yìn,Ogun supports/backs me.
Ọ̀gúntìmẹ́yìn,Ògún supports me.
Ọ̀pádoyin,The Ọ̀pá deity is sweet/pleasurable.
Òkikíadé,The fame of the crown.
Òkúnnú,[unknown]
Òní,Today.
Ọ̀súngboyè,Ọ̀sun receives an honour.
Ọ̀ṣínáìkè,The sorcerer became famous.
Ògúngbẹ̀san,Ògún revenged.
Ọ̀sọbà,[unknown]
Òdeajé,The outing of resourcefulness.
Ọ̀túnba,The right-hand person of the king.
Ògúnfuwà,Ogún is of good behaviour.
Ọ̀nàọlámipọ̀,The ways of my wealth are many.
Ògúntibẹ̀jù,Ògún used that to become greater.
Ọ̀nàọláṣí,The path to wealth opened.
Òkìtì,Mound.
Òkèọnà,Art hill.
Ọ̀rẹ́táyọ̀,Friends are/Friendship is worth joy.
Ògìdán,The leopard. Also àmọ̀tẹ́kùn.
Ògúnpéjú,Ògún gathered faces.
Ọ̀jẹ́wuyì,The masquerade is honourable.
Ògúntóyìnbó,Ògún is worth praising.
Ọ̀tẹ̀ṣílé,Conspiracy built the house.
Òjíkùtù,One who wakes up early.
Ògúnsínà,Ogun cleared the path.
Ọ̀jẹ̀dòkun,The masquerade becomes huge as the ocean.
Ògúnjọbí,Birthed by Ògún together.
Ọ̀sunbùnmi,Ọsun gifted me.
Ọ̀súngbẹ́kún,Ọ̀sun heard (our) cry.
Ògbóríẹfọ̀n,One who carries a buffalo head.
Ọ̀súndínà,Ọ̀sun blocked the way.
Òrìṣàgúnà,The Òrìsà makes the path straight.
Ògúnnọ́wọ̀,Ògún has respect.
Ògúntúàṣe,Ògún repaired character.
Ògúntúnwàṣe,Ògún repairs character.
Òguntúwàṣe,Ògún repairs character.
Ọ̀rẹ́dẹ̀ìn,Friendship is forever.
Ọ̀ṣìnúgà,The king has a royal compound.
ọ̀rẹ́dẹ̀hìn,Friendship is forever
Ọ̀rẹ́dẹ̀yìn,Friendship is forever.
Ògunsan,Ògún pays.
Ògúnbáyọ̀dé,Ogun came with joy.
Ọ̀pábùnmi,The sacred rod gave me.
Ògúnṣọlá,Ogun makes wealth.
Òdòdó,Flower.
Ọ̀wọ̀adé,The respect of the crown.
Ògúnníyì,Ògún has honor/value.
Ọ̀páyẹmí,The staff/authority is befitting of me.
Ògúndìran,The Ògún deity is multigenerational.
Ògúndámisí,Ògún spared me.
Òsàrẹ̀mí,Òrìṣà consoled me.
Òkètóògùn,The hill suffices for medicine. [verification needed]
Òkìkíọlá,The herald of wealth/success.
Ọ̀rọ̀olúwakìíyẹ̀,The word of the lord never fails.
Òkìkíolúwa,The fame of God.
Òkìkìolú,The fame of the leader.
Òkètógùn,The hill is worth medicine.
Ọ̀runṣolú,Heaven made the head.
Ọ̀tẹ́dọlá,Intrigues become wealth.
Ọ̀tẹ́gbọlá,Intrigues received wealth.
Ọ̀gínní,A fashionable person.
Ògúnbọnà,The god of iron meets artistry.
Ọ̀jẹ̀ladé,The masquerade is the crown.
Òkédèyí,The hills/mountains became this.
Ọ̀tọ̀lórìn,He/she walks (in) distinctly.
Ògúnnúpẹ̀bí,Ògún has a shrine.
Ògúnṣẹ̀yẹ,Ògún makes honour.
Ọ̀ṣúnlẹ́yẹ,Ọ̀ṣun has dignity.
Ọ̀súnjìmí,Osun entrusted me (with a gift).
Ọ̀súnjìnmí,Osun entrusted me (with a gift).
Ọ̀tẹ́pọlá,Intrigues have killed the prominent member of this notable family.
Ọ̀tẹ́pará,Intrigues killed (our) kin.
Ọ̀rẹ́ṣẹ́gun,Friendship conquered.
Ògúnlànà,Ògún cleared the path/paved the way.
Ògúnlègbè,Ògún is companionship.
Ògúndépò,Ògún assumes a (great) position (of repute).
Òjòlayọ̀,Rain is happiness (to the snail).
Ògún,"Ògún Lákáayé: The Yorùbá god of iron, of war, and of metallurgy."
Ògúnòde,The Ògún (shrine) outside of the house.
Ọ̀pálúwà,The Ọ̀pá deity has character.
Ògúnlolú,Ogún is the prominent one.
Ọ̀ṣíyẹmí,The Ọṣì(n) is worthy of me.
Ọ̀shunníkẹ́,The goddess Ọṣun has honour.
Ọ̀ṣúnwò,"Ọ̀ṣun watches over (or ""protects"")."
Ògúndiyan,[meaning unknown]
Òkèlọlá,"Wealth is huge.
[verification needed]"
Ọ̀pádìran,The Ọ̀pá deity becomes generational.
Ọ̀páwádé,The one the Ọ̀pá deity sought here.
Ọ̀páwándé,The Ọ̀pá deity sought me here.
Ògúnṣolú,Ogun makes prominence.
Ògúnjẹ́,"1. Oògùn (medicine) is efficient.
2. Ògún responds."
Ògúngbénlé,"Ògun has elevated/exalted me over [it, them, him, her etc]."
Ògúngbàmígbé,Ogun did not forget me.
Ògúnmọ́dẹdé,Ògún brought us a hunter.
Ògoolúwakìítán,"God's glory is endless, does not get exhausted"
Ògèdègbé,Another way of spelling Ògèdèngbé.
Ògúnrìndé,Ògún walked in towards us.
Ògúnshakin,Ògún makes valor.
Ògúndẹ̀hìn,Ògún has become my destiny.
Òkènlá,The big mountain.
Ọ̀rọ́pọ̀,Plenty words.
Òjoyè,The titled one.
Ògunjuyigbe,Ògún does not let honour go to waste.
Ọ̀sundùnmínínú,Ọ̀ṣun makes me happy.
Òkètúnjí,The mountain has woken up.
Ògúnfẹyìmi,Ògún expanded my value.
Ósánlé,He/she ran away from home.
Òbílẹ́yẹ,Parents have honour.
Òsìòyẹmí,I'm not meant for suffering.
Òbóyè,One who meets honour.
Ọ̀jèdélé,The masquerade has arrived home.
Ògúnmẹ̀rù,Ògún doesn't know fear.
Ọ̀jájá,An appellation for the Ọọ̀ni of Ifẹ̀.
Ọ̀dúndún,The appellation of a king of Akure.
Ọ̀ṣúnkẹ́mi,The goddess Ọ̀ṣun cares for me.
Ògúnfowórìn,Ògún walks with money.
Ọ̀súngbémí,"HOMOGRAPH

1. Ọ̀ṣun carries me (Ọ̀ṣungbémi) 
2. Ọ̀ṣun supports me (Ọ̀ṣungbèmí)"
Ọ̀pádòkun,The Ọ̀pá deity becomes as big as the ocean.
Ògúnfúnmitọ́,Ogún gives me to raise.
Ònítirí,"1. As today is.
2. How is today?"
Ọ̀pẹ́lẹ́ngẹ́,The slender one.
Ọ̀jẹ̀wálé,The masquerade returns home.
Ọ̀jẹ̀bísí,The masquerade gave birth to more.
Òkègbénró,The hill uplifts me.
Ògúnbáyọ̀,Ògún met joy.
Òkúdalàìyè,The dead become the living.
Ọ̀jẹ̀rìndé,The masquerade returned on foot.
Òkúndalàiyè,The dead (has) become the living.
Òkúndalàyè,The dead became the living.
Òkúdalàyè,The dead has become the living.
Òrógbangba,One who stands firm (like a rod).
Òṣémàwé,The official title of an Ondo king.
Òjòpagogo,The rain is incapable of drowning the voice of the gong.
Ògúnwẹ̀mímọ́,Ògún washed me clean.
Ọ̀túnla,The day after tomorrow.
Ọ̀rẹ́kùnrin,A male friend.
Ògúnlàjà,Ogun settled the quarrel.
Ọ̀nàlà,Way has been made.
Òkúngbayé,The ocean filled the earth.
Ògúnsùlírẹ̀,Ògún served his country.
Ògúntọ́lá,Ogún is sufficient for wealth.
Ògúnlẹ́wẹ́,Ogún now has smallish members.
Ògúngbire,Ògún receives goodness.
Ògúndẹ́kọ̀,Ògún gave me a gift.
Ògúnnáyàjó,Ògún is brave enough to dance.
Ògúnmóyèjọ,Ògún brings honour together (here).
Ọ̀pámẹ́fà,Six pillars/rods.
Ògúndòsùnmú,Ògún holds onto the òsùn.
Ògúndùmọ́lá,Ògún fights to be with nobility.
Ọ̀ṣúnfowórà,What the goddess Ọ̀ṣun bought with money.
Ògúnṣuà,"1. Ògún brought good fortune. 
2. Also Ògúnṣúà is the title of the king of Modákẹ́kẹ́ (in Ọ̀sun State, Nigeria)."
Ògúnṣuwà,Ògún brought good fortune.
Ògúngbádéró,Ògún held the crown up high.
Ọ̀rẹ́kàn,Friendship meets.
Ọ̀párìndé,The Ọ̀pá walked in.
Ọ̀pábọ́lá,The Ọ̀pá deity meets success.
Ọ̀pátọ́lá,The Ọ̀pá deity is worth success.
Ọ̀pẹ́bí,Ọ̀pẹ̀ gave birth to this.
Ọ̀pátóyè,The staff is equal to the title.
Ọ̀rẹ́bíyì,Friendship gave birth to this.
Òṣàòní,Today's deity.
Òshàtìmí,The deity supports me.
Ọ̀shúnjaiyé,Ọ̀ṣun enjoys.
Ọ̀shuntókí,Ọ̀sun is worthy to be thanked.
Ọ̀ṣọ́,Beauty. Adornment.
Ọ̀ṣọ́sanwó,Artistry paid.
Ọ̀ṣúndárà,"Ọ̀ṣúndárà: Ọ̀sun has created wonder.
Ọ̀ṣundára: Ọ̀ṣun is good."
Ọ̀ṣúngadé,Ọ̀sun ascended the throne.
Ọ̀tẹ̀bọ́lákú,Intrigues perished with wealth.
Ọ̀tún,The right-hand man (chief).
Ódùnmọ́lọ́run,It is pleasing to God.
Òyéfín,The chieftaincy is successful. [verification needed]
Òkújá,Dog's corpse.
Ọ̀rẹ́jìmí,Friendship is entrusted to me.
Ọ̀ṣunfúnkẹ́,Ọ̀ṣun gave me to be cherished.
Òkúrọ̀mádé,The dead hold on to royalty.
Ògúnyẹmí,"1. Ògún befits me.
2. Herbs/medicine benefit me."
Ògúnkóyọ̀dé,Ògún has brought sweetness.
Ọ̀ṣunsànyà,Ọ̀ṣun repaid for suffering.
Òkúṣàga,"1. The ancestors made a chair (to camp with me). The ancestors are with me.
2. The Okù deith is with me.
[verification needed]"
Ògúnwá,Ògún returns.
Ọ̀nàolúwa,The way of God.
Ọ̀támáyọ̀mí,"Enemy, do not rejoice! My enemy, do not mock me!"
Ọ̀jẹ́dèjì,The masquerade has become two.
Ọ̀ṣúntúbọ̀,Ọṣun continues to...
Òsàbínú,The deity is upset.
Ọ̀gbẹ̀ìn,The last born.
Ògúnwùmíjù,I'm strongly attracted to Ògún.
Ògúnkọ́rọ̀dé,Ògún brought wealth.
Ọ̀jẹ̀níyì,The masquerade is honourable.
Òkègbémiró,The hill upheld me.
Ọ̀gúnyẹ,(The child of) Ògún is worthy.
Ògúnlúsì,Ògún has fame/notability.
Ọ̀jẹ̀buyì,The masquerade brought honour.
Ọ̀nàọpẹ́mipọ̀,The ways in which I'm grateful are many.
Ọ̀tẹ̀gbẹ̀ye,Civil strife attains dignity.
Òrìṣáyọmí,The Òrìṣa saved me.
Òrìshàyọmí,The Òrìṣà saved me.
Òrìṣàbùnmi,The Òrìṣà gifted me (this one).
Òrìshàbùnmi,The Òrìṣà gifted me (this one)..
Ọ̀jẹ́kúnlé,The family is full of Masquerade worshipers
Ọ̀jéwánwá,The masquerade came looking for me
Ọ̀jéwùnmí,I am attracted to masquerade (activities).
Ọ̀pákúnlé,The home is full of the totem of the Òrìṣà oko.
Ọ̀jẹ̀biyìí,Masquerade gave birth to this.
Ọ̀kánjọ̀bí,The unique child among siblings.
Ògúnnọ́rìn,Ògún is famous.
Ògúndàíní,Ògún holds on to this. Ògún upholds this.
Ògúnbánkẹ́,Ògún helped me care for (the child).
Òsàlóni,(This child) belongs to the Òrìṣà
Òpómúléró,Pillar. The one who holds/keeps the family together.
Ògúngbadé,Ògún receives royalty.
Ògúnbuyìdé,Ògún brought honour to us.
Òkèṣọlá,The hills make nobility.
Òbígbẹ̀san,Parents revenged.
Ọ̀jáfọlákẹ́,The Ọ̀já cares for with nobility.
Ọ̀nàadé,The way of royalty. The path to the crown.
Ọ̀ṣọ́kòmaiyà,Adornment doesn't overwhelm me.
Ògúnṣeéyìn,Ògún is worshipable.
Òṣídẹ̀kọ̀,unknown
